"","rstudent","dffits","cook.d","cov.r","tau2.del","QE.del","hat","weight","inf"
"69",-2.93810310471101,-0.124912462333463,0.0155091435301592,0.9879145119065,0.789155686422445,1220.414567165,0.00151052880288662,0.151052880288662,""
"72",-2.08510849997481,-0.0818595865180354,0.006685625235572,0.995687198705816,0.798065744538365,1227.10259582891,0.00137401322419155,0.137401322419154,""
"73",1.94503336172575,0.0835518267949064,0.00695554434959623,0.996120465204394,0.797761963017259,1227.59800356791,0.00207849593778519,0.207849593778519,""
"74",0.772973202231083,0.0490105298076575,0.00240736383070945,1.00577657170228,0.806763409231473,1231.71015843972,0.00373549665075803,0.373549665075803,""
"75",0.201883857318561,0.0158323256061787,0.000251811335193191,1.00793460121841,0.809196936709216,1233.60953954351,0.00373383483625332,0.373383483625332,""
"76",0.390374342964968,0.0270654845099386,0.000735586292983489,1.00754622086265,0.80875017800492,1233.31154736475,0.00374185703614682,0.374185703614682,""
"77",1.12728476328228,0.0681386374350067,0.00463934485679592,1.00301573098247,0.803690785343239,1229.17660986591,0.00370240530811972,0.370240530811972,""
"78",-0.0859122525722005,-0.00176176493299528,3.11793596870306e-06,1.00790679885384,0.809195462815728,1233.43717160058,0.00370751645601331,0.37075164560133,""
"79",0.867184472704622,0.0542165613296335,0.00294393753154971,1.0051442691721,0.806058112777504,1231.12506530419,0.00372925423455712,0.372925423455712,""
"80",-1.18172899923234,-0.071286515743507,0.00507138586643916,1.00145185864296,0.802208394588754,1227.51994093019,0.00345649326295045,0.345649326295045,""
"81",-0.0531191153851084,0.00026678404393294,7.15007142605667e-08,1.0079475853557,0.809237055744071,1233.49372353764,0.00371136788523561,0.371136788523561,""
"82",0.306412231121293,0.0220929721048417,0.000490242773285871,1.00775903879285,0.808993022906663,1233.48516202606,0.00373918919222989,0.373918919222988,""
"83",0.227415294065278,0.0173684238252636,0.000303033595685651,1.00790087707731,0.809157213791344,1233.58853403643,0.00373535037006174,0.373535037006174,""
"84",0.899928919899633,0.0560062538269609,0.00314069678534187,1.00490688487749,0.805793630028532,1230.90570141759,0.00372665100602659,0.372665100602659,""
"85",-0.0701154476693211,-0.000783894663965769,6.17300452842772e-07,1.00792764440657,0.809216817955155,1233.4655574237,0.00370939897374041,0.370939897374041,""
"86",-1.47110748329858,-0.0910616010309206,0.00824886954485768,0.998325170294185,0.798679611888614,1224.47857960012,0.00346350595670284,0.346350595670284,""
"87",-1.73163298633265,-0.107744158655065,0.0115135654106691,0.995086793528802,0.795135438951875,1222.08165947915,0.00337409221921812,0.337409221921812,""
"88",1.51754197839351,0.0827425118226576,0.00681906379505357,0.999018764227668,0.79973268476049,1227.63394100163,0.00322339763140805,0.322339763140805,""
"89",1.84080946923418,0.0962501300655304,0.00919861930486023,0.995370672120507,0.795751971569965,1225.16079624285,0.0031117464073987,0.311174640739869,""
"90",0.942542999412803,0.0552740516502902,0.00305756833310975,1.00414138861813,0.805362050704364,1231.37069516829,0.00334692372262932,0.334692372262932,""
"91",0.980623792801394,0.0572138639468145,0.00327508308730232,1.00386964271913,0.805061871217578,1231.16557909558,0.00334168451728024,0.334168451728024,""
"92",0.108573872813591,0.0107262271493631,0.000115678366931259,1.00865423364397,0.809672532303209,1233.63345354202,0.0040295149421893,0.40295149421893,""
"93",0.388740358875042,0.0281371807838801,0.000795535604444076,1.00814548306943,0.809087132649711,1233.2013910557,0.0040401216471589,0.40401216471589,""
"94",0.00368201207668197,0.00406265096320091,1.65949121077081e-05,1.00865078332088,0.809676314717118,1233.53463302515,0.00402275180507205,0.402275180507204,""
