"","pH.std","EC.std","Bulk_density_g_cm3.std","A_phosphorus_ppm_105.std","Phosphatase_activity_µmol_g_h.std","NH4_mgL_105.std","NO3_mgL_105.std","SOM_per_corregido.std","MBC_mg_kg_105.std","Nematode_g_105.std","Ntotal_g_100g_105.std","Nitrogen_stock_Mg_ha.std","Ctotal_g_100g_105.std","Carbon_stock_Mg_ha.std","Al_g_kg.std","Ca_g_kg.std","Cu_mg_Kg_105.std","K_g_kg.std","Mg_g_kg.std","Na_g_kg.std","Zn_mg_Kg_105.std","Fe_g_Kg.std","Ergosterol_µg_g.std","C_N_ratio.std","mf_eff_1"
"11",0.865693430656934,0.149375,0.565299810435997,0.106469674266483,0.328957738259916,0.20942802841363,0.0145523177782013,0.237603212152525,0.0750585204062877,0.16887069018899,0.206556685703357,0.143381339196964,0.125260638772752,0.0900268636121539,0.541720627028615,0.295555470932078,0.409722152818409,0.585193445517353,0.332047550054892,0.758947511186492,0.704463548090945,0.763353313663841,0.0373145185482541,0.399189080927717,6.13518092758445
"12",0.931386861313869,0.292708333333333,0.288835677940736,0.401986194988572,0.0614955639051338,0.416165989444511,0.144662954482886,0.386937049709312,0.176840316443114,0.436194420734224,0.35044362452311,0.124292103276496,0.212670556969375,0.0780974519472747,0.403458831262412,0.542463360114264,0.216781439302232,0.704151484117104,0.389272084510721,0.85721504095369,0.515033103391628,0.664694282869944,0.084540831419337,0.399477656001564,7.52643476804057
"13",0.918248175182482,0.187083333333333,0.263743390202534,0.40928920517733,0.0836742079312953,0.363538785845623,0.0537380135522008,0.238183195983708,0.190213400419531,0.516210109792067,0.213691711476455,0.0692060078760194,0.136623604456981,0.0458127098854607,0.629651377455556,0.449216024612996,0.394877987342729,0.870102412057465,0.517219137538069,0.702147215864014,0.571419024536077,0.660681085883058,0.09057907413598,0.42086358415801,7.07891802906101
"14",0.970802919708029,0.129166666666667,0.310884964581463,0.106011485433864,0.171865795005566,0.128177986122507,0.00267170721498631,0.223662207357862,0.0547729362332916,0.0153933458388128,0.177838571121254,0.0678891255882177,0.125429068352013,0.0495765810851618,0.428654943823623,0.332281740128862,0.250630633466666,0.778410345474338,0.399973277640619,0.803064218310785,0.723882923236782,0.688008826252204,0.043722742992946,0.464275241001388,4.98880242507433
"15",0.760583941605839,0.174583333333333,0.399580963783298,0.232789593980608,0.251601163361658,0.0845762812176809,0.0787651935434001,0.143585614600105,0.0757522399247786,0.280011044785291,0.140593173276871,0.0689832354026177,0.0801366736483428,0.0407112802640468,0.621241154439134,0.427633676841386,0.660912398162835,0.852828308929443,0.666835295984429,0.748709279470783,0.436155636255974,0.438890140657543,0.0633715336972516,0.375206511001128,6.04263392871395
"16",1,0.260625,0.292527187468822,0.4593838304585,0.050060320188521,0.478686348067117,0.0322844404510971,0.329209603056519,0.127981182735544,0.200375032447665,0.308759211623816,0.110907443611765,0.173169534022209,0.0644045251161436,0.503703539666562,0.756434450962634,0.185276927733793,0.733151543004248,0.38522559802358,0.79689190279952,0.641259800441868,0.735952262664886,0.0436493787343867,0.369194185712245,6.89475062046345
"17",0.945985401459854,0.252083333333333,0.314027736206725,0.52082662100985,0.00605596031135148,0.437375685580119,0.094832850908941,0.257958033139539,0.137987872346358,0.647532230851645,0.282935403855008,0.109101278239956,0.148365383430522,0.0592351169337943,0.700897231900131,0.638835545849509,0.546954769235853,0.810150781893294,0.617512151053287,0.745657053588754,0.360394512597616,0.506085681064484,0.0345562630659658,0.34518234662936,7.4137169902367
"18",0.921167883211679,0.4875,0.376833283448069,0.434581155744517,0.0852192147686211,0.0550860054388483,0.397382919134878,0.452424693086049,0.122140520463783,0.29016147807417,0.218176470410705,0.100955899386369,0.21357588121977,0.102324615128696,0.513132708094821,0.613289068779838,0.444362232061355,0.854638664910512,0.321485803268861,0.762022030848025,0.775304051665638,0.823272517066573,0.119433849127362,0.644388206259087,8.19883430179175
"19",0.74014598540146,0.132708333333333,0.398832684824903,0.277079978387275,0.0179745626125268,0.0883461719967058,0.00370702604050139,0.187285584261015,0.0673593396273729,0.0730455920915679,0.112975729230701,0.0553286955711762,0.0786046903571591,0.0398582164904856,0.52529576145713,0.367214960412164,0.555083862337676,0.874058701630644,0.546712656769656,0.89333018463848,0.53914030571698,0.584956036220978,0.0248502874354712,0.458001178897972,5.07621652553453
"20",0.905109489051095,0.365625,0.253217599521101,0.611031391726222,0.0573089877542413,0.486927200162545,0.0152164066623533,0.773033903468691,0.370293079263039,1,0.561747579222535,0.174666506103129,0.423315197927847,0.136281343608914,0.716165859857678,1,0.501167462835606,0.635287183984974,0.495648298232156,0.704905010979971,0.558494993813729,0.622326157376784,0.181995141801693,0.496050554242946,10.1680336623251
"21",0.818978102189781,0.179375,0.297266287538661,0.33129446884054,0.00536804482407968,0.0717330937806108,0.00115751913075067,0.174294676682209,0.0445021045886759,0.0106507186933724,0.113466025115736,0.0414177055843598,0.0804064011267789,0.0303888973371266,0.685318436762705,0.350023577612002,0.716305098913989,0.721915749679718,0.550068983639013,0.699077892489538,0.580843921111833,0.529408177303771,0.0238093661957667,0.466474675147478,4.8209349176037
"22",0.872992700729927,0.233541666666667,0.35817619475207,0.47518333813813,0.203143248231514,0.199111718049227,0.0649198625812128,0.453513809133174,0.213012371799174,0.261454241767886,0.284904269853345,0.125305522667505,0.247774017174656,0.112831701865544,0.702928859076941,0.659111844335022,0.673887264593711,0.745854454017754,0.536701162268155,0.696916862802012,0.502564990631254,0.57003161516757,0.176747922132501,0.572479700911431,8.44297947651902
"23",0.795620437956204,0.121458333333333,0.391200239449267,0.123827374143456,0.163739835485882,0.0975398282031355,0.0201619971200354,0.1999361954243,0.051893304931931,0.467928577849526,0.108240774506415,0.051995353977293,0.0951339789794871,0.0473165892786921,0.585278084179683,0.503591145222442,0.613030549194841,0.788615126301848,0.581934116610221,0.775893428973193,0.500650271834784,0.459861391416172,0.0620914922899072,0.578559538791713,5.88918889802161
"24",0.798540145985401,0.088125,0.499301606305497,0.077682592221698,0.0343284444456696,0.0225739947576101,0.00067865244706955,0.0930043185477995,0.0384658475644325,0.0384309539782579,0.0423734375099072,0.0259795244126592,0.0393462692051181,0.0249772822016888,0.596196905294188,0.384784716243263,0.616316577253184,0.831125915996976,0.590544323033637,0.790461166059857,0.533530200645735,0.430716490414905,0.0111816751367138,0.611241946055243,4.18702854745111
"25",0.845255474452555,0.497916666666667,0.777661378828694,1,0.0646218340159844,0.451677906383277,0.260199540108535,0.335398458531549,0.113463244741202,0.150390811494445,0.209169055658884,0.199738830546178,0.137109533601032,0.135561648969778,0.937134446998328,0.293297886574213,0.868402429049266,0.607119998969301,0.364815996825712,0.55231024345388,0.802599760632497,0.889503436772591,0.0445276335338355,0.431492752689005,8.65218205209853
"26",0.874452554744526,0.403125,0.931258106355383,0.874832310982431,0.245116154008955,0.0387361258950429,0.391085714445347,0.328115564613524,0.192529211269526,0.579101452875891,0.291589877572568,0.333439499817745,0.195955989192135,0.232010300389344,0.849149033133179,0.529409228113658,0.642525698791043,0.714694657620967,0.472043736583056,0.704901633539784,0.614419036492267,0.734030004394565,0.111043109953633,0.442373788366775,10.0751282233612
"27",0.691970802919708,0.175416666666667,0.960141674149456,0.45242905919315,0.0298400173110239,0.135448716373593,0.0129209514242921,0.232754167006556,0.0762259710058124,0.0146757162197596,0.193557965533522,0.228202766470057,0.121732319563135,0.148600364979492,0.805083556836237,0.253966814914462,0.663092224293325,0.672516321813368,0.41152494875702,0.702318961788246,0.697879196000111,0.753017333829868,0.0484610814320999,0.413997898580769,6.3527830336856
"28",0.754744525547445,0.2025,0.924224284146463,0.133995120230229,0.269618532380001,0.0701846419886178,0.0783120127922987,0.256971577945893,0.128220052046402,0.152890161142325,0.177851995459469,0.201841587741353,0.13071527464709,0.153596872796768,0.800231573660923,0.370419631840426,0.532557287125467,0.684294061866168,0.481081611003691,0.750938536868418,0.636491107404493,0.666405086503698,0.053968881011484,0.483805593813288,7.02562044288284
"29",0.71970802919708,0.194375,0.765389603911005,0.544962140019925,0.057468176011349,0.0250204854796055,0.110969446939245,0.154375285061385,0.123172243990353,0.0388758389914657,0.134303419538164,0.126224647226588,0.0673211231852915,0.0655107498593218,0.268270758493201,0.31275664940436,0.277739397491994,0.897210845625034,1,0.803117871321743,0.133708279331004,0,0.0222553643967494,0.329964767992648,4.43825997134622
"30",0.724087591240876,0.130625,0.950064850843061,0.426707999437911,0.140065770970022,0.0172595336407957,0.0462623682545064,0.108511265995501,0.0393421123616346,0.102533171403054,0.0817529352575082,0.0953742512697853,0.0424380206928624,0.0512609947419017,0.420516290060494,0.253053782796707,0.410188828344357,0.801490445179053,0.878668889701137,0.849749937153323,0.307232068842053,0.195636610053657,0.0130223670201497,0.341707926891904,4.71018632716541
"31",0.718248175182482,0.250208333333333,0.847550633542851,0.220465555885056,0.380764945110957,0.041179286416478,0.262253215514085,0.225168350168351,0.104998499137561,0.340873044761503,0.226357409548362,0.235578094225217,0.124579987426952,0.134243292090056,0.468712249715384,0.393433403525926,0.317838320175603,0.730302784612047,0.698534323986023,0.858742375025822,0.480262706408299,0.358114772513048,0.04489221279242,0.362290424365915,7.15539886327138
"32",0.913868613138686,0.114375,0.322458345804649,0.373326444538126,0.0438995624833343,0.172863597802032,0.0025737416327691,0.212902807855332,0.113791816904261,0.53602716922026,0.113695450218825,0.0450185231371813,0.0890504576055484,0.0365080331047292,0.638855562859007,0.564250660665766,0.536196035834865,0.89306285031697,0.65577764903463,0.749442082232325,0.439352898612971,0.376057038038636,0.0339037473125569,0.515580350808482,6.00280055822607
"33",0.672992700729927,0.435416666666667,0.755711862715754,0.601314832724551,0.311077638850835,0.285198738961869,0.410412301628837,0.535704874835312,0.155323360020712,0.434350456864503,0.481694195283177,0.446994509301369,0.294172921223715,0.282642581570245,0.843780978161257,0.309849519335903,0.785484431721246,0.418292285770758,0.248647483660683,0.530435162871919,0.872988121934902,0.90247461822875,0.124729919934095,0.402007882071106,10.3821026353366
"34",0.697810218978102,0.10875,0.7962685822608,0.191880552393754,0.227760820192715,0.188229579431113,0.0256856319571907,0.247561404482945,0.106742263053653,0.262111063486589,0.281114690359449,0.274863870598317,0.15691524058176,0.158855906016747,0.403110330236363,0.314882780932686,0.450060952058023,0.637630672149267,0.544855408697776,0.859113590538875,0.51216598250536,0.492498213396266,0.0659420898474585,0.367438681121456,6.77293598762953
"35",0.826277372262774,0.820833333333333,0.818766836276564,0.776007522582409,0.13805294115133,0.0680576658309561,0.776453636739729,0.612934639399671,0.107982561908327,0.320274382393799,0.506120471153552,0.508848716266049,0.251266003732977,0.261560786406378,0.628002396278492,0.638457464665933,0.499850068504538,0.686833073165051,0.588399880418424,0.717270161661555,0.375940421751392,0.53933936308176,0.0410307605547983,0.326800804374338,10.1553406396537
